Item,Price,Quantity,Order Total,Order Date,Month,Year,Month_Num,Day,Weekday,Is_Weekend,Avg_Price_Per_Item,High_Value_Order,Category_Drinks,Category_Main Dishes,Category_Side Dishes,Category_Starters,Payment Method_Credit Card,Payment Method_Digital Wallet
Chocolate Cake,6.0,5.0,30.0,2023-03-18,2023-03,2023,3,18,Saturday,1,6.0,0,False,False,False,False,False,False
Coca Cola,2.5,1.0,2.5,2023-05-18,2023-05,2023,5,18,Thursday,0,2.5,0,True,False,False,False,False,True
Grilled Vegetables,5.0,4.0,20.0,2023-09-05,2023-09,2023,9,5,Tuesday,0,5.0,0,False,False,True,False,True,False
Vegetarian Platter,14.0,3.0,42.0,2022-02-02,2022-02,2022,2,2,Wednesday,0,14.0,0,False,True,False,False,False,True
Coca Cola,2.5,4.0,10.0,2023-07-30,2023-07,2023,7,30,Sunday,1,2.5,0,True,False,False,False,False,True
Pasta Alfredo,12.0,1.0,12.0,2023-01-31,2023-01,2023,1,31,Tuesday,0,12.0,0,False,True,False,False,True,False
Cheese Fries,5.0,1.0,5.0,2023-02-28,2023-02,2023,2,28,Tuesday,0,5.0,0,False,False,False,True,False,False
Cheese Fries,5.0,3.0,15.0,2022-11-19,2022-11,2022,11,19,Saturday,1,5.0,0,False,False,False,True,False,False
Chocolate Cake,6.0,4.0,24.0,2023-05-03,2023-05,2023,5,3,Wednesday,0,6.0,0,False,False,False,False,False,True
Beef Chili,7.0,5.0,35.0,2023-04-20,2023-04,2023,4,20,Thursday,0,7.0,0,False,False,False,True,False,False
Grilled Vegetables,5.0,5.0,25.0,2023-09-18,2023-09,2023,9,18,Monday,0,5.0,0,False,False,True,False,True,False
Chicken Melt,8.0,4.0,32.0,2023-07-29,2023-07,2023,7,29,Saturday,1,8.0,0,False,False,False,True,True,False
Brownie,6.0,2.0,12.0,2023-10-16,2023-10,2023,10,16,Monday,0,6.0,0,False,False,False,False,False,False
Pasta Alfredo,12.0,2.0,24.0,2022-02-09,2022-02,2022,2,9,Wednesday,0,12.0,0,False,True,False,False,False,False
Lemonade,3.0,3.0,9.0,2023-08-17,2023-08,2023,8,17,Thursday,0,3.0,0,True,False,False,False,False,True
Fruit Salad,4.0,2.0,8.0,2022-04-13,2022-04,2022,4,13,Wednesday,0,4.0,0,False,False,False,False,False,True
Pasta Alfredo,12.0,1.0,12.0,2023-07-21,2023-07,2023,7,21,Friday,0,12.0,0,False,True,False,False,True,False
French Fries,4.0,4.0,16.0,2023-12-03,2023-12,2023,12,3,Sunday,1,4.0,0,False,False,False,True,False,True
Grilled Chicken,15.0,4.0,60.0,2023-09-16,2023-09,2023,9,16,Saturday,1,15.0,0,False,True,False,False,True,False
Chicken Melt,8.0,1.0,8.0,2023-02-11,2023-02,2023,2,11,Saturday,1,8.0,0,False,False,False,True,False,False
Sweet Potato Fries,5.0,2.0,10.0,2023-02-05,2023-02,2023,2,5,Sunday,1,5.0,0,False,False,False,True,True,False
Coca Cola,2.5,2.0,5.0,2022-01-16,2022-01,2022,1,16,Sunday,1,2.5,0,True,False,False,False,True,False
Ice Cream,5.0,3.0,15.0,2023-11-21,2023-11,2023,11,21,Tuesday,0,5.0,0,False,False,False,False,False,False
Mashed Potatoes,4.0,4.0,16.0,2022-10-08,2022-10,2022,10,8,Saturday,1,4.0,0,False,False,True,False,False,True
Cheesecake,7.0,1.0,7.0,2023-03-01,2023-03,2023,3,1,Wednesday,0,7.0,0,False,False,False,False,False,False
Chocolate Cake,6.0,1.0,6.0,2023-05-23,2023-05,2023,5,23,Tuesday,0,6.0,0,False,False,False,False,False,False
Mashed Potatoes,4.0,4.0,16.0,2022-08-03,2022-08,2022,8,3,Wednesday,0,4.0,0,False,False,True,False,False,False
Grilled Chicken,15.0,3.0,45.0,2022-12-20,2022-12,2022,12,20,Tuesday,0,15.0,0,False,True,False,False,True,False
Grilled Chicken,15.0,2.0,30.0,2022-09-12,2022-09,2022,9,12,Monday,0,15.0,0,False,True,False,False,True,False
Grilled Vegetables,5.0,5.0,25.0,2022-06-24,2022-06,2022,6,24,Friday,0,5.0,0,False,False,True,False,False,False
Cheesecake,7.0,1.0,7.0,2023-08-04,2023-08,2023,8,4,Friday,0,7.0,0,False,False,False,False,False,False
Mashed Potatoes,4.0,4.0,16.0,2022-03-11,2022-03,2022,3,11,Friday,0,4.0,0,False,False,True,False,True,False
Iced Tea,2.5,5.0,12.5,2023-09-28,2023-09,2023,9,28,Thursday,0,2.5,0,True,False,False,False,True,False
Grilled Vegetables,5.0,2.0,10.0,2022-08-12,2022-08,2022,8,12,Friday,0,5.0,0,False,False,True,False,False,False
Chicken Melt,8.0,3.0,24.0,2023-01-23,2023-01,2023,1,23,Monday,0,8.0,0,False,False,False,True,True,False
Sweet Potato Fries,5.0,2.0,10.0,2023-07-08,2023-07,2023,7,8,Saturday,1,5.0,0,False,False,False,True,True,False
Pasta Alfredo,12.0,3.0,36.0,2022-12-07,2022-12,2022,12,7,Wednesday,0,12.0,0,False,True,False,False,False,False
Sweet Potato Fries,5.0,4.0,20.0,2023-08-01,2023-08,2023,8,1,Tuesday,0,5.0,0,False,False,False,True,False,True
Grilled Chicken,15.0,5.0,75.0,2023-06-30,2023-06,2023,6,30,Friday,0,15.0,0,False,True,False,False,False,True
Grilled Chicken,15.0,3.0,45.0,2022-05-27,2022-05,2022,5,27,Friday,0,15.0,0,False,True,False,False,False,False
Mashed Potatoes,4.0,5.0,20.0,2022-04-07,2022-04,2022,4,7,Thursday,0,4.0,0,False,False,True,False,True,False
Iced Tea,2.5,2.0,5.0,2022-10-02,2022-10,2022,10,2,Sunday,1,2.5,0,True,False,False,False,False,False
Orange Juice,3.0,2.0,6.0,2023-06-01,2023-06,2023,6,1,Thursday,0,3.0,0,True,False,False,False,True,False
Garlic Bread,4.0,5.0,20.0,2023-05-24,2023-05,2023,5,24,Wednesday,0,4.0,0,False,False,True,False,True,False
Mashed Potatoes,4.0,4.0,16.0,2023-04-01,2023-04,2023,4,1,Saturday,1,4.0,0,False,False,True,False,False,True
Garlic Bread,4.0,2.0,8.0,2023-01-19,2023-01,2023,1,19,Thursday,0,4.0,0,False,False,True,False,False,False
French Fries,4.0,5.0,20.0,2022-08-18,2022-08,2022,8,18,Thursday,0,4.0,0,False,False,False,True,False,False
Side Salad,3.0,5.0,15.0,2022-05-13,2022-05,2022,5,13,Friday,0,3.0,0,False,False,True,False,True,False
Side Salad,3.0,5.0,15.0,2022-07-15,2022-07,2022,7,15,Friday,0,3.0,0,False,False,True,False,False,False
Chicken Melt,8.0,5.0,40.0,2023-06-07,2023-06,2023,6,7,Wednesday,0,8.0,0,False,False,False,True,False,False
Ice Cream,5.0,2.0,10.0,2022-10-28,2022-10,2022,10,28,Friday,0,5.0,0,False,False,False,False,True,False
Chocolate Cake,6.0,3.0,18.0,2022-09-15,2022-09,2022,9,15,Thursday,0,6.0,0,False,False,False,False,False,False
Coca Cola,2.5,1.0,2.5,2023-03-30,2023-03,2023,3,30,Thursday,0,2.5,0,True,False,False,False,True,False
Side Salad,3.0,2.0,6.0,2023-04-13,2023-04,2023,4,13,Thursday,0,3.0,0,False,False,True,False,False,True
Mashed Potatoes,4.0,3.0,12.0,2022-01-11,2022-01,2022,1,11,Tuesday,0,4.0,0,False,False,True,False,False,True
Grilled Vegetables,5.0,1.0,5.0,2022-03-28,2022-03,2022,3,28,Monday,0,5.0,0,False,False,True,False,True,False
Ice Cream,5.0,1.0,5.0,2022-11-13,2022-11,2022,11,13,Sunday,1,5.0,0,False,False,False,False,False,True
Coca Cola,2.5,4.0,10.0,2023-01-28,2023-01,2023,1,28,Saturday,1,2.5,0,True,False,False,False,False,True
Mashed Potatoes,4.0,4.0,16.0,2022-12-07,2022-12,2022,12,7,Wednesday,0,4.0,0,False,False,True,False,True,False
Pasta Alfredo,12.0,3.0,36.0,2022-11-14,2022-11,2022,11,14,Monday,0,12.0,0,False,True,False,False,False,False
Pasta Alfredo,12.0,1.0,12.0,2022-07-27,2022-07,2022,7,27,Wednesday,0,12.0,0,False,True,False,False,False,True
Orange Juice,3.0,1.0,3.0,2022-05-25,2022-05,2022,5,25,Wednesday,0,3.0,0,True,False,False,False,False,False
Pasta Alfredo,12.0,2.0,24.0,2022-10-02,2022-10,2022,10,2,Sunday,1,12.0,0,False,True,False,False,True,False
Pasta Alfredo,12.0,1.0,12.0,2023-08-15,2023-08,2023,8,15,Tuesday,0,12.0,0,False,True,False,False,True,False
Brownie,6.0,3.0,18.0,2023-09-01,2023-09,2023,9,1,Friday,0,6.0,0,False,False,False,False,False,True
Pasta Alfredo,12.0,5.0,60.0,2022-02-05,2022-02,2022,2,5,Saturday,1,12.0,0,False,True,False,False,False,True
Grilled Chicken,15.0,3.0,45.0,2022-02-18,2022-02,2022,2,18,Friday,0,15.0,0,False,True,False,False,False,False
Beef Chili,7.0,5.0,35.0,2023-07-27,2023-07,2023,7,27,Thursday,0,7.0,0,False,False,False,True,False,False
Grilled Chicken,15.0,2.0,30.0,2023-03-10,2023-03,2023,3,10,Friday,0,15.0,0,False,True,False,False,False,True
Chocolate Cake,6.0,3.0,18.0,2023-05-10,2023-05,2023,5,10,Wednesday,0,6.0,0,False,False,False,False,False,False
Nachos Grande,10.0,1.0,10.0,2022-07-29,2022-07,2022,7,29,Friday,0,10.0,0,False,False,False,True,False,True
Water,1.0,5.0,5.0,2023-02-26,2023-02,2023,2,26,Sunday,1,1.0,0,True,False,False,False,True,False
Garlic Bread,4.0,4.0,16.0,2023-03-24,2023-03,2023,3,24,Friday,0,4.0,0,False,False,True,False,False,True
Beef Chili,7.0,2.0,14.0,2023-08-22,2023-08,2023,8,22,Tuesday,0,7.0,0,False,False,False,True,False,True
Orange Juice,3.0,3.0,9.0,2023-03-09,2023-03,2023,3,9,Thursday,0,3.0,0,True,False,False,False,True,False
Beef Chili,7.0,2.0,14.0,2023-06-10,2023-06,2023,6,10,Saturday,1,7.0,0,False,False,False,True,False,True
Pasta Alfredo,12.0,3.0,36.0,2023-10-29,2023-10,2023,10,29,Sunday,1,12.0,0,False,True,False,False,False,False
Orange Juice,3.0,1.0,3.0,2022-10-14,2022-10,2022,10,14,Friday,0,3.0,0,True,False,False,False,False,False
Iced Tea,2.5,5.0,12.5,2022-03-24,2022-03,2022,3,24,Thursday,0,2.5,0,True,False,False,False,False,False
Water,1.0,2.0,2.0,2023-11-22,2023-11,2023,11,22,Wednesday,0,1.0,0,True,False,False,False,True,False
French Fries,4.0,5.0,20.0,2023-01-21,2023-01,2023,1,21,Saturday,1,4.0,0,False,False,False,True,False,True
Cheese Fries,5.0,1.0,5.0,2023-05-26,2023-05,2023,5,26,Friday,0,5.0,0,False,False,False,True,False,False
Grilled Vegetables,5.0,4.0,20.0,2022-09-29,2022-09,2022,9,29,Thursday,0,5.0,0,False,False,True,False,False,False
Onion Rings,5.0,1.0,5.0,2022-05-30,2022-05,2022,5,30,Monday,0,5.0,0,False,False,True,False,False,True
Ice Cream,5.0,4.0,20.0,2023-09-01,2023-09,2023,9,1,Friday,0,5.0,0,False,False,False,False,False,False
Iced Tea,2.5,2.0,5.0,2023-02-13,2023-02,2023,2,13,Monday,0,2.5,0,True,False,False,False,False,True
Grilled Vegetables,5.0,4.0,20.0,2022-12-31,2022-12,2022,12,31,Saturday,1,5.0,0,False,False,True,False,True,False
Ice Cream,5.0,2.0,10.0,2022-12-09,2022-12,2022,12,9,Friday,0,5.0,0,False,False,False,False,True,False
Grilled Chicken,15.0,5.0,75.0,2022-01-01,2022-01,2022,1,1,Saturday,1,15.0,0,False,True,False,False,False,True
Orange Juice,3.0,4.0,12.0,2023-04-03,2023-04,2023,4,3,Monday,0,3.0,0,True,False,False,False,True,False
Steak,20.0,3.0,60.0,2022-12-24,2022-12,2022,12,24,Saturday,1,20.0,0,False,True,False,False,False,True
Chocolate Cake,6.0,3.0,18.0,2022-11-22,2022-11,2022,11,22,Tuesday,0,6.0,0,False,False,False,False,False,True
Brownie,6.0,2.0,12.0,2023-04-19,2023-04,2023,4,19,Wednesday,0,6.0,0,False,False,False,False,False,False
Pasta Alfredo,12.0,5.0,60.0,2022-01-06,2022-01,2022,1,6,Thursday,0,12.0,0,False,True,False,False,False,True
Cheese Fries,5.0,3.0,15.0,2022-04-13,2022-04,2022,4,13,Wednesday,0,5.0,0,False,False,False,True,False,False
Chicken Melt,8.0,5.0,40.0,2023-05-23,2023-05,2023,5,23,Tuesday,0,8.0,0,False,False,False,True,True,False
Fruit Salad,4.0,3.0,12.0,2022-08-09,2022-08,2022,8,9,Tuesday,0,4.0,0,False,False,False,False,True,False
Garlic Bread,4.0,5.0,20.0,2023-04-22,2023-04,2023,4,22,Saturday,1,4.0,0,False,False,True,False,True,False
Sweet Potato Fries,5.0,1.0,5.0,2022-12-28,2022-12,2022,12,28,Wednesday,0,5.0,0,False,False,False,True,False,False
Fruit Salad,4.0,1.0,4.0,2022-03-27,2022-03,2022,3,27,Sunday,1,4.0,0,False,False,False,False,False,True
Chocolate Cake,6.0,1.0,6.0,2023-07-27,2023-07,2023,7,27,Thursday,0,6.0,0,False,False,False,False,False,False
Ice Cream,5.0,1.0,5.0,2022-03-04,2022-03,2022,3,4,Friday,0,5.0,0,False,False,False,False,True,False
Cheese Fries,5.0,2.0,10.0,2023-03-29,2023-03,2023,3,29,Wednesday,0,5.0,0,False,False,False,True,False,True
Lemonade,3.0,5.0,15.0,2023-06-18,2023-06,2023,6,18,Sunday,1,3.0,0,True,False,False,False,False,True
Side Salad,3.0,2.0,6.0,2022-06-02,2022-06,2022,6,2,Thursday,0,3.0,0,False,False,True,False,True,False
Chicken Melt,8.0,5.0,40.0,2022-10-27,2022-10,2022,10,27,Thursday,0,8.0,0,False,False,False,True,True,False
Grilled Vegetables,5.0,5.0,25.0,2022-09-22,2022-09,2022,9,22,Thursday,0,5.0,0,False,False,True,False,False,True
Side Salad,3.0,3.0,9.0,2022-10-01,2022-10,2022,10,1,Saturday,1,3.0,0,False,False,True,False,False,True
French Fries,4.0,4.0,16.0,2023-06-07,2023-06,2023,6,7,Wednesday,0,4.0,0,False,False,False,True,False,False
Vegetarian Platter,14.0,5.0,70.0,2022-04-24,2022-04,2022,4,24,Sunday,1,14.0,0,False,True,False,False,False,False
Steak,20.0,3.0,60.0,2023-04-10,2023-04,2023,4,10,Monday,0,20.0,0,False,True,False,False,False,True
Lemonade,3.0,2.0,6.0,2022-06-28,2022-06,2022,6,28,Tuesday,0,3.0,0,True,False,False,False,False,True
Ice Cream,5.0,4.0,20.0,2022-06-22,2022-06,2022,6,22,Wednesday,0,5.0,0,False,False,False,False,False,False
Brownie,6.0,4.0,24.0,2022-11-14,2022-11,2022,11,14,Monday,0,6.0,0,False,False,False,False,True,False
Lemonade,3.0,5.0,15.0,2023-12-25,2023-12,2023,12,25,Monday,0,3.0,0,True,False,False,False,True,False
Cheesecake,7.0,4.0,28.0,2023-03-14,2023-03,2023,3,14,Tuesday,0,7.0,0,False,False,False,False,False,False
Coca Cola,2.5,2.0,5.0,2023-11-11,2023-11,2023,11,11,Saturday,1,2.5,0,True,False,False,False,False,True
Salmon,18.0,2.0,36.0,2023-02-08,2023-02,2023,2,8,Wednesday,0,18.0,0,False,True,False,False,True,False
Grilled Vegetables,5.0,5.0,25.0,2022-08-06,2022-08,2022,8,6,Saturday,1,5.0,0,False,False,True,False,True,False
Grilled Chicken,15.0,4.0,60.0,2023-12-11,2023-12,2023,12,11,Monday,0,15.0,0,False,True,False,False,False,True
Beef Chili,7.0,5.0,35.0,2022-07-13,2022-07,2022,7,13,Wednesday,0,7.0,0,False,False,False,True,True,False
Vegetarian Platter,14.0,5.0,70.0,2023-12-08,2023-12,2023,12,8,Friday,0,14.0,0,False,True,False,False,False,False
Nachos Grande,10.0,5.0,50.0,2023-02-07,2023-02,2023,2,7,Tuesday,0,10.0,0,False,False,False,True,True,False
Side Salad,3.0,3.0,9.0,2022-02-26,2022-02,2022,2,26,Saturday,1,3.0,0,False,False,True,False,False,True
Water,1.0,3.0,3.0,2022-12-05,2022-12,2022,12,5,Monday,0,1.0,0,True,False,False,False,True,False
Side Salad,3.0,4.0,12.0,2022-07-22,2022-07,2022,7,22,Friday,0,3.0,0,False,False,True,False,False,True
Onion Rings,5.0,1.0,5.0,2023-06-11,2023-06,2023,6,11,Sunday,1,5.0,0,False,False,True,False,False,False
Grilled Vegetables,5.0,1.0,5.0,2023-07-16,2023-07,2023,7,16,Sunday,1,5.0,0,False,False,True,False,False,False
Mashed Potatoes,4.0,2.0,8.0,2023-12-07,2023-12,2023,12,7,Thursday,0,4.0,0,False,False,True,False,False,False
Grilled Chicken,15.0,3.0,45.0,2023-05-21,2023-05,2023,5,21,Sunday,1,15.0,0,False,True,False,False,False,True
Ice Cream,5.0,5.0,25.0,2022-06-16,2022-06,2022,6,16,Thursday,0,5.0,0,False,False,False,False,False,False
Grilled Vegetables,5.0,5.0,25.0,2022-04-16,2022-04,2022,4,16,Saturday,1,5.0,0,False,False,True,False,True,False
Side Salad,3.0,4.0,12.0,2022-12-19,2022-12,2022,12,19,Monday,0,3.0,0,False,False,True,False,False,False
Iced Tea,2.5,5.0,12.5,2022-10-13,2022-10,2022,10,13,Thursday,0,2.5,0,True,False,False,False,False,False
French Fries,4.0,1.0,4.0,2023-09-05,2023-09,2023,9,5,Tuesday,0,4.0,0,False,False,False,True,False,True
Chocolate Cake,6.0,3.0,18.0,2022-10-16,2022-10,2022,10,16,Sunday,1,6.0,0,False,False,False,False,True,False
Cheese Fries,5.0,3.0,15.0,2023-02-03,2023-02,2023,2,3,Friday,0,5.0,0,False,False,False,True,True,False
Garlic Bread,4.0,1.0,4.0,2023-10-11,2023-10,2023,10,11,Wednesday,0,4.0,0,False,False,True,False,False,True
Fruit Salad,4.0,3.0,12.0,2023-04-10,2023-04,2023,4,10,Monday,0,4.0,0,False,False,False,False,True,False
Ice Cream,5.0,5.0,25.0,2023-07-08,2023-07,2023,7,8,Saturday,1,5.0,0,False,False,False,False,False,False
French Fries,4.0,5.0,20.0,2022-08-03,2022-08,2022,8,3,Wednesday,0,4.0,0,False,False,False,True,True,False
Orange Juice,3.0,5.0,15.0,2022-11-17,2022-11,2022,11,17,Thursday,0,3.0,0,True,False,False,False,True,False
Water,1.0,2.0,2.0,2022-09-10,2022-09,2022,9,10,Saturday,1,1.0,0,True,False,False,False,False,True
Cheese Fries,5.0,5.0,25.0,2022-05-03,2022-05,2022,5,3,Tuesday,0,5.0,0,False,False,False,True,True,False
Steak,20.0,3.0,60.0,2022-09-26,2022-09,2022,9,26,Monday,0,20.0,0,False,True,False,False,False,False
Mashed Potatoes,4.0,1.0,4.0,2022-05-28,2022-05,2022,5,28,Saturday,1,4.0,0,False,False,True,False,False,True
French Fries,4.0,4.0,16.0,2022-04-07,2022-04,2022,4,7,Thursday,0,4.0,0,False,False,False,True,False,False
Mashed Potatoes,4.0,3.0,12.0,2022-11-26,2022-11,2022,11,26,Saturday,1,4.0,0,False,False,True,False,False,True
Pasta Alfredo,12.0,3.0,36.0,2022-04-12,2022-04,2022,4,12,Tuesday,0,12.0,0,False,True,False,False,False,True
Chocolate Cake,6.0,5.0,30.0,2023-12-14,2023-12,2023,12,14,Thursday,0,6.0,0,False,False,False,False,False,True
Cheese Fries,5.0,3.0,15.0,2022-09-16,2022-09,2022,9,16,Friday,0,5.0,0,False,False,False,True,False,True
Mashed Potatoes,4.0,2.0,8.0,2022-11-20,2022-11,2022,11,20,Sunday,1,4.0,0,False,False,True,False,False,False
Lemonade,3.0,2.0,6.0,2023-05-27,2023-05,2023,5,27,Saturday,1,3.0,0,True,False,False,False,True,False
Chocolate Cake,6.0,4.0,24.0,2022-09-03,2022-09,2022,9,3,Saturday,1,6.0,0,False,False,False,False,False,True
Brownie,6.0,2.0,12.0,2023-06-22,2023-06,2023,6,22,Thursday,0,6.0,0,False,False,False,False,True,False
Chicken Melt,8.0,4.0,32.0,2023-05-28,2023-05,2023,5,28,Sunday,1,8.0,0,False,False,False,True,False,False
Sweet Potato Fries,5.0,3.0,15.0,2022-12-06,2022-12,2022,12,6,Tuesday,0,5.0,0,False,False,False,True,False,False
Garlic Bread,4.0,3.0,12.0,2022-04-29,2022-04,2022,4,29,Friday,0,4.0,0,False,False,True,False,False,False
Mashed Potatoes,4.0,2.0,8.0,2022-03-18,2022-03,2022,3,18,Friday,0,4.0,0,False,False,True,False,False,False
Fruit Salad,4.0,5.0,20.0,2022-04-11,2022-04,2022,4,11,Monday,0,4.0,0,False,False,False,False,False,True
Steak,20.0,3.0,60.0,2022-07-04,2022-07,2022,7,4,Monday,0,20.0,0,False,True,False,False,False,True
Salmon,18.0,2.0,36.0,2022-10-01,2022-10,2022,10,1,Saturday,1,18.0,0,False,True,False,False,True,False
Fruit Salad,4.0,2.0,8.0,2023-02-13,2023-02,2023,2,13,Monday,0,4.0,0,False,False,False,False,False,False
Mashed Potatoes,4.0,5.0,20.0,2023-08-04,2023-08,2023,8,4,Friday,0,4.0,0,False,False,True,False,False,False
Fruit Salad,4.0,3.0,12.0,2023-09-14,2023-09,2023,9,14,Thursday,0,4.0,0,False,False,False,False,True,False
Side Salad,3.0,5.0,15.0,2022-05-14,2022-05,2022,5,14,Saturday,1,3.0,0,False,False,True,False,False,False
Brownie,6.0,4.0,24.0,2022-12-14,2022-12,2022,12,14,Wednesday,0,6.0,0,False,False,False,False,True,False
Orange Juice,3.0,1.0,3.0,2022-07-01,2022-07,2022,7,1,Friday,0,3.0,0,True,False,False,False,False,False
Grilled Chicken,15.0,2.0,30.0,2022-10-03,2022-10,2022,10,3,Monday,0,15.0,0,False,True,False,False,False,True
Cheesecake,7.0,3.0,21.0,2023-10-25,2023-10,2023,10,25,Wednesday,0,7.0,0,False,False,False,False,False,False
Chicken Melt,8.0,5.0,40.0,2022-03-13,2022-03,2022,3,13,Sunday,1,8.0,0,False,False,False,True,False,True
Grilled Chicken,15.0,3.0,45.0,2023-04-27,2023-04,2023,4,27,Thursday,0,15.0,0,False,True,False,False,False,True
Side Salad,3.0,1.0,3.0,2023-05-06,2023-05,2023,5,6,Saturday,1,3.0,0,False,False,True,False,True,False
Lemonade,3.0,2.0,6.0,2022-11-19,2022-11,2022,11,19,Saturday,1,3.0,0,True,False,False,False,False,False
Water,1.0,5.0,5.0,2023-02-26,2023-02,2023,2,26,Sunday,1,1.0,0,True,False,False,False,False,True
Chocolate Cake,6.0,3.0,18.0,2023-01-09,2023-01,2023,1,9,Monday,0,6.0,0,False,False,False,False,True,False
Side Salad,3.0,1.0,3.0,2022-06-13,2022-06,2022,6,13,Monday,0,3.0,0,False,False,True,False,False,True
Ice Cream,5.0,1.0,5.0,2023-02-19,2023-02,2023,2,19,Sunday,1,5.0,0,False,False,False,False,True,False
Coca Cola,2.5,2.0,5.0,2022-06-20,2022-06,2022,6,20,Monday,0,2.5,0,True,False,False,False,False,False
Side Salad,3.0,5.0,15.0,2023-04-18,2023-04,2023,4,18,Tuesday,0,3.0,0,False,False,True,False,False,False
Vegetarian Platter,14.0,4.0,56.0,2023-04-13,2023-04,2023,4,13,Thursday,0,14.0,0,False,True,False,False,False,True
Iced Tea,2.5,2.0,5.0,2022-03-23,2022-03,2022,3,23,Wednesday,0,2.5,0,True,False,False,False,False,False
Steak,20.0,5.0,100.0,2023-03-19,2023-03,2023,3,19,Sunday,1,20.0,0,False,True,False,False,False,True
Garlic Bread,4.0,1.0,4.0,2023-06-29,2023-06,2023,6,29,Thursday,0,4.0,0,False,False,True,False,False,True
Ice Cream,5.0,4.0,20.0,2022-11-16,2022-11,2022,11,16,Wednesday,0,5.0,0,False,False,False,False,False,True
Lemonade,3.0,4.0,12.0,2022-02-07,2022-02,2022,2,7,Monday,0,3.0,0,True,False,False,False,True,False
Pasta Alfredo,12.0,5.0,60.0,2022-02-14,2022-02,2022,2,14,Monday,0,12.0,0,False,True,False,False,False,False
Ice Cream,5.0,4.0,20.0,2023-01-18,2023-01,2023,1,18,Wednesday,0,5.0,0,False,False,False,False,False,False
Pasta Alfredo,12.0,3.0,36.0,2022-08-31,2022-08,2022,8,31,Wednesday,0,12.0,0,False,True,False,False,False,True
French Fries,4.0,5.0,20.0,2023-01-20,2023-01,2023,1,20,Friday,0,4.0,0,False,False,False,True,False,False
Pasta Alfredo,12.0,4.0,48.0,2022-11-29,2022-11,2022,11,29,Tuesday,0,12.0,0,False,True,False,False,True,False
Onion Rings,5.0,2.0,10.0,2023-10-30,2023-10,2023,10,30,Monday,0,5.0,0,False,False,True,False,False,False
Coca Cola,2.5,3.0,7.5,2022-07-06,2022-07,2022,7,6,Wednesday,0,2.5,0,True,False,False,False,True,False
Grilled Vegetables,5.0,1.0,5.0,2023-07-06,2023-07,2023,7,6,Thursday,0,5.0,0,False,False,True,False,True,False
Nachos Grande,10.0,1.0,10.0,2023-12-11,2023-12,2023,12,11,Monday,0,10.0,0,False,False,False,True,False,True
Garlic Bread,4.0,4.0,16.0,2023-02-18,2023-02,2023,2,18,Saturday,1,4.0,0,False,False,True,False,True,False
